,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
t_s,7.555,0.937,6.095,9.12,0.017,0.012,3152.0,4652.0,1.0
theta[0],6.457,4.245,0.708,12.456,0.038,0.03,10379.0,5641.0,1.0
theta[1],9.835,4.453,3.081,16.747,0.044,0.032,9699.0,5353.0,1.0
theta[2],7.108,4.35,0.988,13.325,0.041,0.032,9487.0,5395.0,1.0
theta[3],5.649,4.09,0.303,11.43,0.036,0.03,11732.0,5108.0,1.0
theta[4],12.914,4.924,5.106,20.582,0.052,0.037,8544.0,5155.0,1.0
theta[5],9.166,4.527,2.358,15.825,0.042,0.033,10651.0,5799.0,1.0
theta[6],5.551,4.19,0.203,11.493,0.038,0.03,10604.0,5670.0,1.0
theta[7],5.207,4.138,0.145,11.044,0.036,0.03,11114.0,5749.0,1.0
theta[8],4.934,4.009,0.126,10.532,0.036,0.029,10562.0,5736.0,1.0
theta[9],7.042,4.201,0.797,12.943,0.038,0.029,10350.0,5593.0,1.0
theta[10],5.548,4.145,0.285,11.389,0.038,0.031,10058.0,5502.0,1.0
theta[11],11.263,4.682,4.296,18.758,0.048,0.036,8954.0,4661.0,1.0
theta[12],4.782,3.984,0.079,10.301,0.037,0.03,9767.0,6036.0,1.0
theta[13],5.032,4.102,0.105,10.799,0.037,0.029,9506.0,5403.0,1.0
theta[14],8.446,4.422,1.908,15.081,0.044,0.033,9298.0,5553.0,1.0
theta[15],5.652,4.148,0.295,11.565,0.039,0.031,9732.0,5515.0,1.0
theta[16],8.927,4.455,2.117,15.536,0.041,0.031,10459.0,5098.0,1.0
theta[17],6.618,4.225,0.614,12.512,0.038,0.031,11161.0,5648.0,1.0
theta[18],5.526,4.113,0.257,11.234,0.035,0.028,11517.0,5745.0,1.0
theta[19],5.595,4.22,0.162,11.416,0.038,0.032,10205.0,4670.0,1.0
theta[20],7.356,4.333,0.953,13.495,0.041,0.03,9399.0,5725.0,1.0
theta[21],5.257,4.068,0.23,11.127,0.036,0.03,11136.0,5726.0,1.0
theta[22],5.177,4.216,0.142,10.957,0.038,0.031,10815.0,5138.0,1.0
theta[23],7.578,4.318,1.139,13.637,0.04,0.032,10410.0,5402.0,1.0
theta[24],7.234,4.374,0.916,13.422,0.04,0.034,11128.0,5646.0,1.0
theta[25],6.471,4.163,0.744,12.494,0.037,0.029,10931.0,5674.0,1.0
theta[26],8.426,4.395,1.774,14.809,0.042,0.032,10302.0,5657.0,1.0
theta[27],4.995,4.064,0.172,10.667,0.037,0.029,10451.0,6052.0,1.0
theta[28],6.76,4.185,0.847,12.766,0.036,0.029,11617.0,5741.0,1.0
theta[29],6.566,4.231,0.605,12.829,0.039,0.029,10184.0,5860.0,1.0
theta[30],4.859,4.022,0.073,10.412,0.036,0.03,11063.0,5196.0,1.0
theta[31],5.595,4.249,0.271,11.629,0.037,0.03,10571.0,4879.0,1.0
theta[32],4.59,4.052,0.045,10.171,0.037,0.03,10117.0,5542.0,1.0
theta[33],5.207,4.104,0.172,10.968,0.036,0.029,10170.0,5333.0,1.0
theta[34],7.125,4.33,0.98,13.402,0.04,0.032,10315.0,5317.0,1.0
theta[35],6.579,4.163,0.755,12.569,0.038,0.03,11238.0,5914.0,1.0
theta[36],6.292,4.235,0.407,12.269,0.041,0.031,9621.0,5177.0,1.0
theta[37],5.951,4.212,0.267,11.794,0.038,0.031,11509.0,5890.0,1.0
theta[38],5.99,4.177,0.477,11.843,0.038,0.031,10750.0,5353.0,1.0
theta[39],4.806,4.101,0.071,10.692,0.036,0.031,10820.0,5483.0,1.0
theta[40],16.307,5.267,7.866,24.554,0.089,0.063,3251.0,4406.0,1.0
theta[41],5.328,4.045,0.24,11.098,0.035,0.029,10540.0,5532.0,1.0
theta[42],5.464,4.247,0.192,11.395,0.038,0.032,10939.0,5703.0,1.0
theta[43],5.097,4.091,0.11,10.754,0.036,0.031,10930.0,4611.0,1.0
theta[44],10.387,4.584,3.305,17.366,0.043,0.032,10265.0,4756.0,1.0
theta[45],8.896,4.373,2.129,15.37,0.043,0.032,9743.0,5409.0,1.0
theta[46],5.082,4.082,0.167,10.851,0.036,0.03,10818.0,5544.0,1.0
theta[47],5.802,4.135,0.342,11.778,0.039,0.03,9660.0,4976.0,1.0
theta[48],4.826,4.049,0.063,10.521,0.038,0.031,9825.0,5094.0,1.0
theta[49],10.151,4.575,2.89,16.955,0.046,0.034,9574.0,5856.0,1.0
theta[50],10.805,4.624,3.706,18.011,0.045,0.033,9694.0,4891.0,1.0
theta[51],6.172,4.242,0.459,12.04,0.037,0.03,10446.0,4647.0,1.0
theta[52],8.539,4.324,1.647,14.721,0.041,0.031,9792.0,6128.0,1.0
theta[53],8.764,4.481,1.622,15.119,0.042,0.032,9874.0,4454.0,1.0
